net,length_um
_1109_,318.87
net3,316.29
net63,304.08
_1108_,298.12
net9,291.07
_0822_,280.975
net37,269.09
net27,264.91
net4,256.815
net43,240.28
_1010_,222.06
net23,219.9
net35,217.4
_0820_,216.03
_1172_,215.455
net12,211.74
net31,205.94
net8,202.58
_1226_,201.72
_0821_,199.8
_0918_,195.37
_1042_,190.9
_1161_,190.645
_0323_,188.46
net15,188
net22,187.66
net7,187
_0746_,185.575
_0694_,185.57
net60,184.66
_1021_,181.535
_0758_,179.2
_1031_,178.28
net29,176.28
_0640_,176.015
_0704_,175.04
_0128_,171.92
net47,171.8
net19,171.5
_0623_,171.24
net58,169.31
_0772_,168.56
net6,167.84
net36,167.32
_1334_,165.41
net38,163.7
net13,162.52
_0779_,161.44
_0712_,160.605
_1074_,159.7
net34,157.22
_0407_,156.985
_0638_,156.68
_0041_,156.49
net46,155.7
_1117_,155.68
net49,155.32
_0692_,155.11
_0888_,151.78
net48,151.66
_0501_,151.44
_0491_,149.54
_1096_,147.72
_0703_,146.88
_1128_,142.2
_0272_,141
net2,140.46
_0648_,139.68
_0327_,138.94
_1301_,138.84
_0747_,138.71
_1222_,136.98
net44,135.3
_0705_,134.935
net26,134.74
_0624_,134.435
_0651_,134.4
_0851_,133.38
_0844_,132.74
_0040_,132.2
_0684_,131.18
_0514_,130.835
net16,129.57
_0780_,129.11
net45,126.08
_1312_,124.29
_0685_,121.595
net1,121.5
net21,121.08
_0650_,120.6
net5,120.36
_0922_,119.08
_0109_,118.29
net20,118.24
_0774_,116.745
_0622_,116.39
_0587_,114.41
_0649_,111.96
net11,109.74
_0760_,108.92
net54,106.78
net57,106.38
_0887_,106.17
_0763_,105.715
_0759_,101.15
net24,98.88
_0992_,98.655
_0637_,98.51
_0504_,97.67
_1019_,97.66
_1107_,97.46
_0047_,94.9
_1293_,94.38
_0683_,93.96
net30,93.32
_1068_,93.03
_0143_,92.24
net10,91.24
_1269_,90.16
_0643_,90.04
net32,89.71
net41,88.36
_0001_,87.15
_0281_,85.92
_0642_,85.71
_0629_,85.54
_0000_,85.455
net18,85.02
_0123_,83.3
_0999_,83.155
net25,81.74
_0557_,80.7
_1085_,80.56
_1182_,79.94
_0503_,79.58
net14,78.18
_0505_,77.94
_1022_,77.525
_1154_,72.915
_0890_,71.86
_0194_,68.88
_0762_,67.88
_0829_,66.02
_1290_,65.58
_0117_,65.36
_0530_,64.24
_0292_,63.9
net64,63.5
_0301_,62.47
net17,62.4
_0905_,62.22
_1195_,61.78
_0178_,61.045
_0499_,60.55
_0192_,60.295
net39,58.1
_0891_,57.8
_0841_,56.62
_1159_,54.12
_0945_,53.18
_1311_,52.68
_0124_,51.98
_0989_,51.56
_0275_,51.355
_1323_,51.03
_0060_,50.94
_0019_,50.34
_0131_,49.9
_0532_,49.64
_0254_,47.92
net28,47.64
_0845_,46.26
_0619_,45.94
_0823_,45.92
_1073_,45.6
_0179_,45.58
_0126_,45.2
_0828_,44.49
_1178_,44.26
_0656_,43.54
_0033_,43.53
_0320_,43.52
_0687_,42.56
_0949_,42.24
_0819_,42
_0646_,41.84
_0955_,41.58
_1119_,41
_0104_,40.6
_1270_,40.3
_1035_,40.28
_1028_,40.2
_1086_,40.18
_0868_,39.82
_0222_,39.68
_0016_,39.66
net56,39.56
_0181_,39.3
_1151_,38.92
_0150_,38.84
_0066_,38.34
_0835_,38.24
_0400_,38.2
_1155_,38.06
_0132_,38.02
_0498_,37.84
_0920_,37.38
_1179_,37.36
_0914_,36.74
_0525_,36.655
_0330_,36.5
_1276_,36.46
_0185_,36.36
_1217_,35.78
_0689_,35.55
_0984_,35.36
_0846_,34.74
_0872_,34.68
_0270_,34.3
_0020_,34
_1014_,33.98
_1250_,33.98
_0556_,33.96
_0162_,33.9
_0933_,33.9
_1252_,33.64
_0361_,33.48
_1307_,33.34
_0937_,33.32
_0558_,33.08
_0710_,33.05
_0078_,32.82
_0225_,32.78
_0318_,32.68
_1007_,32.6
_0506_,32.58
_1315_,32.43
_0902_,32.42
_1177_,32.36
_1243_,32.26
_1245_,32.16
_0585_,32.08
_1346_,32
net67,31.69
_0024_,31.68
_0571_,31.66
_0862_,31.66
_0386_,31.46
_0529_,31.34
_1089_,31.22
_0147_,31.18
_0335_,31.08
_0836_,31.06
_0943_,31.06
_0101_,30.88
_1053_,30.8
_0916_,30.7
_1355_,30.7
_0416_,30.66
_1012_,30.66
_0553_,30.62
_0727_,30.62
_1223_,30.2
_0462_,30.14
_0664_,30.04
_0695_,29.96
_0771_,29.66
_1131_,29.4
_0255_,29.24
_0135_,29.22
_1239_,29.22
_1221_,29.15
_0742_,29.08
_0357_,29.06
_0474_,28.88
_0797_,28.88
net53,28.86
_0765_,28.8
_0048_,28.76
_0076_,28.76
_0995_,28.72
_0661_,28.64
_1067_,28.62
_1090_,28.575
_0293_,28.38
_0723_,28.14
_0665_,27.9
_0764_,27.88
_0086_,27.78
_0950_,27.76
_0750_,27.54
_0978_,27.52
_0276_,27.48
_0791_,27.42
_0136_,27.3
_0233_,27.3
_0568_,26.98
_0770_,26.86
_0702_,26.78
_0777_,26.74
_1279_,26.44
_0061_,26.36
_0606_,26.32
_0801_,26.26
_0897_,26.12
_0979_,26.04
_0153_,25.88
_0096_,25.7
_0274_,25.68
_0809_,25.68
_0367_,25.62
_0134_,25.58
_0944_,25.58
_0006_,25.575
_0043_,25.4
_0382_,25.4
_0209_,25.36
_0736_,25.28
_1170_,25.18
_0963_,25.1
net42,25.04
_0969_,25
_0538_,24.94
_0065_,24.66
_0869_,24.6
_1353_,24.42
_0551_,24.4
_1330_,24.4
_0524_,24.26
_1345_,24.26
_0199_,24.06
_0899_,23.96
_0900_,23.94
_0751_,23.92
_0940_,23.92
_0804_,23.9
_0133_,23.89
_0831_,23.84
_0849_,23.74
_0734_,23.69
_0210_,23.67
_0355_,23.54
_1202_,23.5
_0244_,23.48
_0994_,23.44
_0389_,23.42
_1062_,23.32
_0566_,23.18
_0573_,23.18
_0614_,23.12
_0146_,23.06
_0159_,23.06
_0083_,22.91
_1118_,22.84
_1262_,22.83
_0102_,22.64
_0607_,22.58
_1203_,22.54
_0319_,22.46
_0904_,22.4
_1003_,22.32
_0870_,22.26
_0947_,22.26
_0960_,22.2
_0242_,22.18
_0628_,22.18
_1160_,22.18
_0311_,22.04
_0217_,22.02
_1018_,22.02
_0539_,21.98
_0170_,21.9
_0693_,21.9
_0973_,21.86
_0223_,21.72
_0516_,21.64
_0662_,21.56
_0197_,21.52
_1139_,21.5
_0030_,21.44
_1052_,21.44
_0766_,21.38
_0364_,21.36
_0446_,21.26
_1268_,21.24
_0512_,21.04
_0252_,20.92
_0811_,20.86
_1319_,20.84
_1187_,20.78
_0248_,20.72
_1070_,20.68
_0903_,20.66
_1110_,20.6
_0299_,20.58
_0986_,20.46
_0207_,20.44
_0313_,20.44
_0543_,20.42
_1362_,20.42
_0172_,20.4
_0886_,20.4
_0966_,20.32
_1344_,20.32
_0186_,20.28
_0345_,20.24
_1008_,20.1
_0852_,20.02
_0354_,19.97
_1033_,19.96
_0163_,19.9
_0285_,19.88
product[24],19.87
_0874_,19.86
_0909_,19.86
_0690_,19.84
_0410_,19.72
_0214_,19.66
_0908_,19.62
_1002_,19.62
_0200_,19.6
_0526_,19.56
_1069_,19.54
_0341_,19.52
_1006_,19.5
_1278_,19.42
_1044_,19.38
_1284_,19.38
_1004_,19.36
_1157_,19.32
_0035_,19.3
_0802_,19.3
_0865_,19.3
_0941_,19.24
_1354_,19.24
_0589_,19.12
_0731_,19.045
_1145_,18.96
_0106_,18.95
_0261_,18.94
_0022_,18.9
_0885_,18.86
net66,18.79
_0730_,18.74
_0678_,18.62
_0229_,18.54
_0211_,18.52
_0562_,18.52
_0952_,18.5
_0677_,18.48
_1080_,18.48
_0332_,18.44
_1126_,18.44
_1254_,18.44
_0555_,18.42
_0980_,18.4
_0873_,18.36
_1055_,18.34
_0803_,18.32
_0962_,18.32
net52,18.32
_0056_,18.3
_0864_,18.28
_0975_,18.28
