net,length_um
_089_,229.76
_099_,207.525
_090_,201.46
_363_,196.48
_095_,195.905
_158_,188.24
_094_,185.835
_361_,178.63
_108_,175.53
_115_,174.95
_078_,174.38
_082_,173.25
_000_,171.345
clknet_0_clk,170.5
_101_,169.56
net96,167.275
_386_,164.8
net100,164.22
net67,156.89
_087_,156.06
_086_,148.48
net62,147.54
_083_,146.14
net38,143.52
_216_,143.335
_384_,143.22
_210_,141.02
net128,133.52
_081_,133.44
net105,131.92
net2,131.86
net110,129.8
net94,127.8
net6,126.84
net125,125.24
net104,123.16
net81,122.15
net101,121.26
net117,120.88
clknet_3_1__leaf_clk,118.94
_376_,118.8
net63,117.7
net29,117.06
net74,116.58
_399_,115.56
net99,113.83
_084_,112.51
clknet_3_3__leaf_clk,112.24
net115,110.82
net48,109.72
net50,108.77
net32,107.49
net51,107.22
clknet_3_4__leaf_clk,105.58
net124,104.695
net114,101.7
net49,101.66
net54,101.26
net76,100.54
net70,98.96
net26,98.84
net127,97.88
net71,97.38
clknet_3_2__leaf_clk,94.98
net93,94.68
net123,94.48
net86,94.41
_407_,93.6
net102,92.88
net14,92.5
net119,90.46
net46,90.4
net16,90.12
_409_,89.36
net56,89.06
net53,88.94
net126,88.6
net116,88.42
net91,88.2
clknet_3_5__leaf_clk,88.02
net44,87.46
clknet_3_0__leaf_clk,87.11
net1,86.08
net66,84.355
_372_,83.48
net20,81.99
net85,81.04
net42,80.44
net92,79.94
net23,78.68
clknet_3_6__leaf_clk,78.24
_360_,78.14
net95,77.85
net97,77.475
net41,75.52
net5,74.84
net27,74.74
net15,74.05
net35,73.27
net109,72.44
net18,72.16
net8,71.995
net21,71.4
net106,70.97
net82,70.22
net34,69.66
net80,69.49
clk,68.84
clknet_3_7__leaf_clk,68.5
net90,66.68
net103,65.755
net79,65.42
net88,65.38
net19,64.96
net37,64.22
net118,64.2
net17,63.47
net120,63.44
net13,62.18
net83,62.06
net108,60.74
net4,60.2
net22,59.2
net130,58.1
_154_,57.86
net68,57.68
_076_,55.38
net121,54.55
net28,53.52
net87,51.92
net24,51.62
net122,50.66
net60,50.62
net84,49.76
net72,48.58
net30,47.64
net112,46.52
net65,46.1
_075_,46.04
net111,43.62
net73,42.36
_325_,42.02
net9,41.38
net25,41.08
net78,40.82
net11,40.44
net59,40.04
net64,39.9
net36,39.28
_262_,37.78
net89,37.74
_381_,37.7
net107,37.64
_189_,35.59
net57,34.34
mcand[26],33.27
net45,32.52
mplier[30],32.23
_080_,32.08
net98,30.7
estado_act\[1\],30.655
net33,30.32
_240_,29.96
_077_,29.9
_167_,29.22
product[16],29.17
_276_,29.08
product[63],28.69
_295_,28.26
estado_act\[0\],27.88
net55,27.88
_292_,27.72
_185_,27.1
net7,26.64
_223_,26.4
_123_,26.38
_291_,26.37
_155_,26.325
product[45],26.31
_096_,26.16
mplier[26],25.74
_135_,25.49
_439_,25.48
_362_,24.8
product[43],24.24
_282_,24.04
_257_,24.02
mcand[19],23.98
mcand[25],23.82
net3,23.34
net58,23.34
net113,23.29
product[21],22.89
net31,22.63
_314_,22.595
net10,22.28
_136_,22.245
_298_,21.72
mcand[0],21.7
contador_act\[3\],21.58
net129,21.44
_226_,21.24
_435_,21.24
_306_,21.09
_274_,20.8
mcand[8],20.68
_324_,20.52
_242_,20.5
_238_,20.32
contador_act\[0\],20.3
_309_,20.155
_179_,20.06
mplier[20],20.06
_389_,19.98
_328_,19.9
mplier[23],19.76
mplier[9],19.76
mcand[11],19.45
_351_,19.42
_344_,19.32
mplier[19],19.29
_434_,19.26
mplier[17],19
_294_,18.86
_437_,18.75
_150_,18.64
net52,18.6
_012_,18.405
_278_,18.12
_106_,18.11
_176_,17.64
_352_,17.48
mplier[27],17.22
_161_,17.02
_124_,16.86
_107_,16.81
_088_,16.78
_169_,16.64
_118_,16.42
_192_,16.16
_173_,15.86
_221_,15.68
net77,15.64
mcand[9],15.61
_339_,15.6
net134,15.6
_259_,15.34
product[20],15.26
_164_,15.22
_234_,14.93
product[36],14.83
mcand[2],14.76
_120_,14.72
_144_,14.72
_021_,14.465
_148_,14.46
product[1],14.4
_195_,14.26
net69,14.18
_181_,14.12
_102_,13.98
_104_,13.8
mplier[31],13.76
_341_,13.72
_256_,13.68
product[22],13.51
product[26],13.44
_133_,13.42
product[46],13.4
mplier[4],13.38
_202_,13.34
product[25],13.23
_374_,13.2
_111_,13.02
product[39],12.98
mplier[29],12.94
_141_,12.89
mplier[14],12.79
_313_,12.78
mcand[14],12.75
product[7],12.62
product[27],12.6
product[47],12.6
product[50],12.6
product[53],12.6
product[62],12.6
product[12],12.55
_228_,12.54
_232_,12.46
product[42],12.43
_393_,12.42
_319_,12.325
_224_,12.32
mplier[0],12.23
contador_act\[1\],12.22
_205_,12.155
mcand[17],12.02
mcand[18],12.02
mcand[24],12.02
mcand[27],12.02
mplier[10],12.02
mplier[11],12.02
mplier[21],12.02
mplier[5],12.02
mplier[8],12.02
_231_,11.96
_153_,11.94
mplier[2],11.78
_266_,11.66
acu_act\[64\],11.62
product[51],11.56
mcand[10],11.48
mplier[22],11.48
mcand[7],11.47
_217_,11.36
_128_,11.34
_196_,11.34
product[60],11.26
_206_,11.24
_079_,11.2
_332_,11.2
_255_,11.14
mplier[25],11.11
mcand[15],11.1
mcand[29],11.1
mcand[5],11.1
mplier[13],11.1
mplier[1],11.1
mplier[28],11.1
product[0],11.1
product[6],11.1
product[55],11.03
_246_,10.96
net143,10.96
net75,10.88
_247_,10.84
net39,10.8
_438_,10.78
_299_,10.74
_130_,10.7
net40,10.66
_305_,10.555
product[30],10.55
_121_,10.52
_190_,10.46
mplier[16],10.43
_204_,10.42
_062_,10.385
_303_,10.36
_209_,10.34
product[15],10.3
_213_,10.2
_073_,9.78
mplier[15],9.75
